frame,time_s,fused_u,fused_v,du_fused,dv_fused,radar_x,radar_y,radar_z,dx_radar,dy_radar,yolo_cx,yolo_cy,yolo_w,yolo_h,du_yolo,dv_yolo,range_m,vel_mps,confidence
134,13.407,956.2,597.5,-3.7,36.7,-0.024,2.681,-0.419,-0.031,0.021,992.2,638.4,272.6,759.6,-0.3,-2.1,2.68,-0.41,0.77
135,13.459,963.3,553.2,7.0,-44.3,0.037,2.603,-0.007,0.061,-0.078,1009.9,627.0,234.9,771.0,17.7,-11.4,2.60,-0.38,0.81
136,13.507,956.4,563.2,-6.9,10.1,-0.023,2.533,-0.114,-0.060,-0.069,1001.6,627.3,240.9,777.5,-8.2,0.3,2.53,-0.42,0.82
137,13.556,936.8,588.9,-19.6,25.7,-0.185,2.515,-0.328,-0.162,-0.018,986.7,622.3,256.9,777.9,-14.9,-5.1,2.52,-0.39,0.82
138,13.606,951.6,551.0,14.8,-37.9,-0.064,2.596,-0.025,0.122,0.080,957.5,617.5,261.6,777.3,-29.2,-4.7,2.60,-0.12,0.82
139,13.655,947.8,568.1,-3.8,17.0,-0.094,2.623,-0.181,-0.031,0.027,957.5,617.5,261.6,777.3,0.0,0.0,2.62,-0.12,0.82
140,13.705,902.8,685.4,-45.0,117.3,-0.436,2.354,-1.033,-0.342,-0.269,957.5,617.5,261.6,777.3,0.0,0.0,2.35,-0.29,0.82
141,13.754,952.0,583.7,49.2,-101.7,-0.060,2.727,-0.307,0.375,0.373,905.4,615.2,235.3,779.0,-52.1,-2.3,2.73,-0.59,0.87
142,13.806,940.3,489.0,-11.7,-94.7,-0.147,2.568,0.492,-0.087,-0.159,905.4,615.2,235.3,779.0,0.0,0.0,2.57,-0.08,0.87
143,13.906,949.6,549.0,9.3,60.0,-0.076,2.439,0.006,0.071,-0.129,889.8,613.9,224.1,785.7,-15.6,-1.3,2.44,0.00,0.84
144,13.955,976.0,557.5,26.4,8.5,0.261,2.925,-0.069,0.337,0.486,887.9,614.0,218.1,786.0,-1.9,0.1,2.92,-0.20,0.85
145,14.007,946.3,501.1,-29.7,-56.4,-0.102,2.550,0.411,-0.363,-0.375,885.8,617.3,206.9,787.9,-2.1,3.3,2.55,0.15,0.84
146,14.055,910.7,497.1,-35.6,-4.1,-0.382,2.377,0.418,-0.280,-0.173,883.2,616.4,198.1,782.2,-2.6,-0.9,2.38,-0.59,0.77
147,14.110,915.2,473.6,4.4,-23.4,-0.503,3.326,0.815,-0.121,0.949,883.2,616.4,198.1,782.2,0.0,0.0,3.33,-0.59,0.77
148,14.205,973.3,492.4,58.1,18.7,0.172,2.663,0.470,0.674,-0.662,859.9,616.6,223.8,788.1,-23.2,0.2,2.66,0.00,0.70
149,14.305,897.0,673.5,-76.3,181.2,-0.534,2.588,-1.069,-0.706,-0.075,384.5,759.2,714.2,512.5,-475.5,142.6,2.59,0.59,0.70
150,14.365,922.0,488.9,25.0,-184.7,-0.294,2.405,0.483,0.241,-0.183,848.9,615.4,217.2,786.6,464.5,-143.8,2.40,0.35,0.66
151,14.404,921.9,463.0,-0.1,-25.9,-0.299,2.425,0.700,-0.005,0.020,1458.0,771.3,48.8,106.8,609.1,155.8,2.42,-0.15,0.64
